,review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
398,"This is genuinely the most fun I have had playing a pokemon game in years. I get lost in the wilds searching for new areas and alpha pokemon, sidequests and satchels. Like all pokemon games, parts of the story itself are pretty predictable but there were aspects I definitely didnt see coming. Genuinely loving this game so far and glad to see there is still lots to do after the credits roll. Graphics could use some polishing (the caves are pretty... yeah)but the graphics dont make the game for me, personally. The gameplay feels smooth and I love the different ride pokemon and crafting mechanics. Overall a very fun game and I hope they continue down this path.",05-Feb-22,9,0.75,2,2,0
399,"finally, something fresh... by gamefreak's standards, of course. i hope they can really expand on this type of gameplay in gen 9.",31-Jan-22,9,0.875,2,10,9.6
400,"Soplo de aire fresco para esta saga, menuda sorpresa a nivel jugable. Es lo que todo fan de Pokemon desearÃ­a jugar. Los grÃ¡ficos son mediocres, por eso no le puedo dar un diez. Pero en lo que respecta a agilidad y mecÃ¡nicas jugables de atrapar pokemon y combatir me parece la direcciÃ³n correcta en la saga. De hecho, si la siguiente generaciÃ³n no incluye esta jugabilidad me parecerÃ¡ un gran error y que retrocede la saga. Espero que el mundo abierto, la exploraciÃ³n, la captura y los combates sin transiciones y Ã¡giles vengan para quedarse para siempre. El estilo de combate prefiero el original en la saga original, en esta saga Leyendas estÃ¡ bien eso de ?estilo rÃ¡pido??y ?estilo fuerte. La banda sonora tambiÃ©n cumple sobradamente. La historia podrÃ­a ser algo mÃ¡s madura, aunque me parece el camino correcto, muchÃ­simo mejor que la historia de Espada y Escudo. Animo a todo fan y no fan a probarlo. En resumen, por favor Game Freak sigue asÃ­.",31-Jan-22,9,0.8,3,5,6.4
401,"Bad graphics but very good game. Lots of new mechanics and changes to the formular. This is the evolution Pokemon needs.EDIT: I am now finished with the game and IÂ´m increasing the score from an 8 to a 9 because of the really awesome mounts. Swimming, climbing and flying is so much fun!",01-Feb-22,9,0.846153846,15,15,6.7
402,"This is a step to the right direction, loved this game, after burning myself out with Sword/Shield I thought I was done with Pokemon games after ignoring BD/SP, but this game my god I had so much fun.",13-Feb-22,9,0,42,42,9.2
403,"Honest Review - Ok i thought this game was going ti be terrible, i held back from buying it but recently bought it after watching gameplay and fans loving it.I played it and i was very surprised. Its the pokemon game we all wanted 10years ago but never too late i guess. Very addictive game, ive thoroughly enjoyed it, so much to do, could easily sink 100 hours in to it.Negatives for me is the lack of online and the graphics, no voice acting and music. Also i think the battle system needs to move from turn based to more of a free moving system. But regardless of all these faults it has to be one of the best pokemon games since gold silver for me personally. Its a step in the right direction but has much to improve on.Honestly a great game and anything i sink 100hours in to is a high rating game.",07-Feb-22,9,0.75,2,2,0
404,"First of all i don't remember when was the last time I enjoyed a pokemon gsme this much. I am a hardcore pokefan. This would be a 10/10 game if they mixed with the original formula. I miss gym battles, elite four and even trainer battles. I don't mind that it's not fully open world. That could be really overwhelming with a lot of pokemon. And for the last. Come on Gamfreak put some effort in the graphics. The animations were cool. The pokemon are cool. But the terrain is n64.",03-Feb-22,9,0.571428571,2,2,0
405,The game we wanted for so long. The plot is more mature and the world interesting. Finally a story i'm interested in. Gameplay is fun and make sense in the story. You have to complete the pokedex and revive the village for a reason that make sense in the story.Grafic is the reason my score is not 10. Still is better than what i tought but inferior compared to other switch titles. A HUGE step in the right direction for gamefreak. I can even forgive them for selling me an incomplete/nerfed game with brilliant diamond/shiny pearl.,30-Jan-22,9,0.833333333,4,4,3.8
406,"The game would be perfect if it wasn?t for the graphics. It?s also really slow to start. However, past those two points, they?ve completely changed the game.",02-Feb-22,9,0.75,7,7,9.6
407,Honestly what a game this was. Completed the dex and everything. That last boss fight agaisnt Arceus was incredible and the final trainer battle was intense.Best pokemon game since gen 5 and it wasnt the same boring stale formula we have had for the past 20 years. Game is not empty and is full of pokemon,31-Jan-22,9,0.875,13,13,9.2
408,"Haven't finished it yet, but played 26(!) hours in the first weekend, the last time I've done that with a game was probably Kingdom Hearts on the PS2...This game doesn't always look great, but damn it's fun to play. It's actually fun to catch Pokemon again, I'm having a blast! Alpha's are a fun mechanic, they actually feel dangerous. The game gets dark too, actually mentioning death a few times. I just hope they make this a series, because this is so damn cool.Had to take a point away for the graphics, especially in the water it doesn't look great, but the Pokemon themselves look great, so I really don't mind it. You kinda just forget about it.",30-Jan-22,9,0.810810811,25,26,7.1
409,"Pokemon Legends Arceus is an interesting new take in the Pokemon series. The game is fun, and well paced. The cast of characters are strong and interesting, and the story is satisfactory. Overall, the world feels vibrant, but some parts tend to feel empty or repetitive",03-Feb-22,9,0.5,2,3,0
410,Excellent game just needs voice acting i coukd bever get into the older pokemon ganes because i need a game i can walk around in like this. Deffinatly reccomemded to anyone who loves to play a adventure game with rog elements and anyone who loves pokemon this is a must buy,08-Feb-22,9,0.6,2,2,0
411,"Definitely the best Pokemon experience I've ever had. Literally the only issue I have is *minor spoilers* the ridable Ursaluna. Sonic Adventure 2 had better mechanics for treasure hunting, I literally only used it for the mission requirement and never touched it again because of how particular the controls are for it.",30-Jan-22,9,0.842105263,2,2,0
412,"50 hours in, around 45 hours of fun.The game has terrible graphics, you know it, everyone knows it.But also, the sound design is lackluster.The story is as usual, you need 2 functional braincell to understand it.But people enjoys Minecraft.The game is amazing, there is so many QoLs I love, you can catch every pokemon without needing someone else to trade with you.Easily the best Pokemon game, if you are a fan you need to try it.I just wish there was more battling content.",01-Feb-22,9,0.842105263,4,4,0
413,"So we finally have a game that Gamefreak have put some effort in, however does it actually work? Minor spoilers if you haven't watched trailers so be warned.So my first sitting I sat there for 9 hours straight giving this an honest go so I can put together a fair review. I played it all on stream and said my pros and cons there but here they are in text for others to read and decide on if they want to purchase. I have now put in 35 hours I can put together a fair review.Overall, Yes this game is worth and I am very impressed Gamefreak took this risk and I hope future games use this type of system. There are some things they could have done better which I'll go into first PokÃ©mon at night could have more of a variety, every map has 80% of the same PokÃ©mon at night except a few that are exclusive to that map at night. It's most driffloons you find which is annoying, but during the day there's a variety on each map. It's only at night it's lacking.Some side quests need some work, they need to be more descriptive or give you the maps name at least. Some of them give you a quest where you have to go an area but that name isn't on any map at all, someone would have mentioned the name but you'd have to remember.The map needs more little towns for immersivness, you have people coming from other existing places to your town. However you never actually find those towns, instead of having random quests on the maps to pick up you could have little towns you go pick them up from and then you could learn a little more of how those places operate at the same time. Except you just hear of all the places and never get to see them which is a shame.PokÃ©mon in the wild could have behaviour characteristics, get too close to another PokÃ©mon they could argue with each other or even fight, Have bidoofs collecting wood to make dams, Beatifly landing on trees and sucking the nectar. Just things to give the PokÃ©mon more life, they do go to sleep at night (If they don't despawn and get replaced with night PokÃ©mon which does happen).Now on to why it's such a great game.System.. The open world style really suits this game and it's a huge step forwards for the franchise. Being able to choose to try and catch a PokÃ©mon right away or battle it is great.. what's even better is being able to move while battling. This doesn't do anything but it lets you look around and if you annoy more than one PokÃ©mon you can end up battling as many enemies that are around you.Crafting.. Now this actually lets you do something with the open world style. Collect materials which you can find on the ground or get as rewards for catching/fainting pokemon. You might think it's a tedious thing but you don't need to craft you can just smash through the content however crafting does add a little more to do for those that like this type of thing. Collecting recipes and crafting those new recipe's to make fights easier in the future.Mounts.. You can run fast, break stuff, swim or fly and you can switch between them whenever you want with the D-Pad and if your currently on your running mount and go into water it will automatically switch to your swimming mount. Great addition Gamefreak, well done. However I wish you could actually fly around and fight flying PokÃ©mon in the sky.Danger.. Now you can actually faint from PokÃ©mon attacking you. This could do with being harder though it is very easy to dodge PokÃ©mon attacks or get away from them. However the fear of you actually fainting and loosing items you went out and crafted/bought is a cool addition to the game. Alpha PokÃ©mon are a great addition too. You can litterally throw your PokÃ©mon out anywhere and call them back, so you catch an alpha PokÃ©mon you can compare it's size to a regular one. You have a choice to either fight the wild PokÃ©mon or catch them right off the bat. Even aggressive PokÃ©mon can be approached with the correct items, I've caught about 10 Alpha PokÃ©mon without battling them.The side quests are both great and have their flaws at the same time. Most of the side quests have different styles quests, have a little story too them too but then around 1/5th side quests are just 'Fill X Pokemons Dex entry'. Which is too many in my opinion, your planning to finish all Dex entries anyway if you want the reward.Overall this game is a hard 9/10 I love that Gamefreak went for a risk and put so much effort into a new game rather than us getting a new 3DS game that's slightly bigger in map size. This is a great direction for new PokÃ©mon games, I see this as the BoTW of the series. This is a test to see if the audience enjoy this style of game and then in future we will get more immersive maps, maps will towns we are going to end up having a truly flawless game if they continue in this direction and don't just use this style of spin off games in the future.",02-Feb-22,9,0.666666667,5,5,8.8
414,"I can say that the game has been really enjoyable so far after 12 hours in game. Not a game that is as breathtaking as Breath of the Wild, but I do think that it could be a steppingstone for the next Pokemon game which might revolutionize its series. Game Freak is on the right track. I give this a 9 for the fun I've had.By the way, the graphic is not that bad if you don't compare it to BOTW, people just had way too high expectations for it like ""I expected this to be on the BOTW level, what the hell!!!"".",09-Feb-22,9,0.5,8,13,9.1
415,"The most excited I?ve ever been to see and catch a Zubat in any PokÃ©mon game. The new gameplay loop is very addicting and there?s an actual challenge in catching some of the PokÃ©mon and staying alive. The only con I have for this game is the graphics can be buggy at times but I mean what do you expect from an oversized cell phone? Bottom line, the game is very fun and holding my interest compared to the last 3 mainline PokÃ©mon titles.",31-Jan-22,9,0.807692308,1,1,0
416,"Pokemon Legends Arceus is an amazing new direction for this series. and honestly it's a thousand times better than Sword and Shield were in my opinion. sure, i enjoyed Sword, but Legends is amazing. it feels like Pokemon meets Breath of the Wild sort of. that or maybe Pokemon meets Monster hunter Rise with how you go to multiple massive and open areas to explore and hunt things down in. also, it's just so much fun. graphics look... alright, but they're leagues better than Sword and Shield. the gameplay is solid, and much more like what i was hoping for when I saw the original reveal trailer. I love this game, but it's kinda tough to avoid getting wrecked by high level Alpha pokemon if you wander too far. oh, and i would say at least make save datas for a Pokemon Let's Go game, Sword or Shield, and Brilliant Diamond or Shining Pearl for some free clothing items and two bonus quests involving mythical pokemon in the postgame. oh, and it's also fantastic that my favorite starter pokemon, Cyndaquil, is a starter in this game, but i digress. just pick up the game for yourself and find out how good it is for yourself!",03-Feb-22,9,0.5,2,2,0
417,Not a perfect game but man this is by far the best pokemon game released in over ten years,15-Feb-22,9,0,4,6,7.7
418,"This is one of the first times a Pokemon game has captured that wonder I felt playing my first game when I was young. I was astounded at how many risks GameFreak has finally taken, I genuinly hope that this type of pokemon game gets polished more and is a new template for the series moving forward. However the graphics are in fact pretty awful, while usually that doesn't mean anything to me personally, somehow this game makes me notice more and the pop in is pretty anoying, I don't really understand how games like breath of the wild can be a launch title and look way more amazing due to clever art style tricks to make it run flawlessly on the Switch's limited hardware but I assume that after this game's success there will be more effort put into these aspects of the next Arceus like game. unfortunately the graphics do hold it back a bit but I'd rather have annoying graphic problems and a huge rework of PokÃ©mon than another bland mainline copy-paste PokÃ©mon game.",03-Feb-22,9,0.5,3,3,0
419,"Pros-This game has some of the most addictive and well designed gameplay loops I have played in a PokÃ©mon game. The game allows you to be curious and encourages it more often than not and it feels very rewarding for just exploring the map. It adds so many new quality of life updates and changes like the battle mechanics are expanded. These changes are long overdue for the PokÃ©mon IP and it works really well in the games favor. The music is amazing and is so pleasing especially in battles and just wandering around the open world. The story this time around is surprisingly decent and kept me invested. The PokÃ©mon formula is changed for the better and it really works in the games' favor. Also the actual PokÃ©mon have an actual personality and it is very refreshing to see.Cons-Honestly, this game is really ugly looking at most times and the graphics are just not up to par even for a switch game. There is a lot of jank in the controls and it takes away from the experience. The game does have a certain lack of polish that I am sure will be somewhat fixed but at release the polish or lack thereof definitely is noticeableConclusion-All of the problems I mentioned are a problem and I wish Game Freak was given perhaps a few more months to iron things out, Even though that didn't happen, PokÃ©mon Legends: Arceus is one of the most well designed and compelling PokÃ©mon games ever and is able to overcome those shortcomings. This game is the game PokÃ©mon fans have been waiting for years for and for the first time in years I think the future of the franchise is looking bright",02-Feb-22,9,0.666666667,28,103,7.9
420,"I was worried about the graphics and world being lifeless and empty but there is simply too much to do and an addictive gameplay loop to either notice much or care. +Pokedex completion is varied and engaging+Completionists will be happily busy+Pokemon themselves never looked better+Music is phenomenal+Seamless transition from open world to battles+Engaging story- Graphical artifacts are genuinely distracting at times ; flickering, pop ins, and glitching grass flat out ruin some moments",30-Jan-22,9,0.833333333,2,2,0
421,"El soundtrack es de lo mejor del Juego, una nueva fÃ³rmula y refrescante, de verdad es lo que franquicia necesitaba, esperemos que para la 9va generaciÃ³n sigan con esta fÃ³rmula.",31-Jan-22,9,0.807692308,3,3,0
422,"I'll start with the obvious downsides. The graphics are not good, even considering it's a Switch game. It just looks unpolished and unfinished. The story is nothing special and it's about what you expect from a Pokemon game.However I enjoyed playing it. The changes to the stale formula, makes it a nice and new experience. New fighting options, no stale trainer fodder fights and it's fun being a researcher. The action sequences give a nice break from the normal, more monotone battles. I would have given it a 10 if it was more polished and had more content, but I'm satisfied for now.",29-Jan-22,9,0.819672131,14,17,8.3
423,"The best pokemon game so far. I had not enjoyed any pokemon game since 15 years ago, but this time, I really enjoy it.",08-Feb-22,9,0.666666667,1,2,0
424,"The best Pokemon game I have ever played. It is all I ever wanted growing up. This game is not perfect, but it provides an excellent stepping stone for future games of this style. I hope GameFreak sticks with this style of game. At times, it was painfully obvious this was the devs first time attempting to make a game like this. However, the gameplay is absolutely addicting and the overworld Pokemon are simply too cool to pass up this game.",24-Feb-22,9,0,3,3,0
425,Such an amazing game. I hope PokÃ©mon games continue in this direction in the future. You can get lost for hours in the world simply just wandering around and catching PokÃ©mon. It?s the first time I am actually interested in completing the PokÃ©dex. Graphics are the only let down in my opinion.,04-Feb-22,9,0.833333333,3,3,0
426,"El mejor juego de la franquicia, es cierto aÃºn tiene muchas cosas por pulir, mayormente derivadas del poco tiempo de desarrollo que permite PokÃ©mon company sin embargo es el camino por el que deben de seguir.",20-Feb-22,9,0,7,7,7.4
427,"I've never liked Pokemon games. After the tutorial I would always remove the game because I was bored. Technically PokÃ©mon Legend Arceus is my first PokÃ©mon that I have enjoyed in my life. I've played 20 hours and I'm still a long way from the game. It really is an advance to what PokÃ©mon is. The graphics leave a lot to be desired, but that doesn't stop the game from being very entertaining. If you are someone very focused on graphics; do not buy it. But if you are a fan of the games or wanted a change in the PokÃ©mon saga; buy and play this game because I promise you won't be disappointed",30-Jan-22,9,0.815789474,13,14,7.5
428,"De las crÃ­ticas malas que he leÃ­do solo debo decir que la Ãºnica que tomo en cuenta es la grafica....Nos encontramos frente al primer cambio en la mecÃ¡nica de juego de un pokemon!!! eso si no excento de fallos.... sin embargo, para ser la primera gran incursiÃ³n de la compaÃ±Ã­a fuera del tÃ­pico juego simplÃ³n y sin alma que llevan haciendo desde la nintendo 3ds.... se le perdona, innovando con nuevas formas de juego, trama sencilla pero mas disfrutable y algo de dificultad un poco mas elevada.En fin un Juego bastante entretenido, distinto y que invita a explorar su mundo... como lo eran los juegos de pokemon en un principio",03-Feb-22,9,0.4,2,2,0
429,"Best PokÃ©mon game in a long time, cuts down on the nauseating text boxes you have to acknowledge in the previous games",12-Feb-22,9,0.5,2,2,0
430,"If you are someone who does or ever has liked pokemon, you will like this game. If you are someone who literally only cares about graphics, you will not like this game.",30-Jan-22,9,0.836734694,3,4,7.8
431,"Not a fan of pokemon until now !!Game Ã­s amazing ! Love IT all music, gameplay every body should enJoy ^^",03-Feb-22,9,0.5,4,4,9.5
432,"The first Pokemon game I've genuinely enjoyed and wanted to finish since HG/SS! I'm a big fan of Monster Hunter, so I wonder if that's why I love the game so much. A sequel/dlc with all new Pokemon, and some better textures would being this to a 10.",31-Jan-22,9,0.842105263,2,2,0
433,"I've been playing Pokemon games since gen 1. I've enjoyed every Pokemon game since then. Pokemon Legends Arceus is a great video game, perhaps one of the best on Switch if not the absolute best, but it is not the best Pokemon game per say.First off, graphically, it looks fine. Pokemon games have never been visually impressive and I personally don't see a whole lot of difference between this game graphically and something like Breath of the Wild. The sounds are great. The music sound track hits hard and the game itself makes good use of sound effects. Sometimes you can kind of tell where a Pokemon might be just by listening. It helped me a lot as it was much easier to tell when a Pokemon was about to attack. Performance is fine. The game is 30 FPS, but it's a consistent 30 FPS. Personally, while I do prefer 60 FPS, I don't actually mind 30 FPS as long as it's consistent and the framerate here is good enough for me.Of course though, this is a Pokemon game, so gameplay is what really matters. This game is very fun and very addictive. It's relaxing to go out looking for Pokemon. The boss battles need a bit of work, but generally I've had fun with this game. It's very addictive. I don't have a whole lot of free time due to work and stuff, so the fact that I've played about 50 hours of this game in just the last week that it's been out says a lot. The crafting system is a nice idea, but it needs a bit of work to be really good. A lot of the resources you gather are only good for one or two specific items and that seems like a bit of a waste. It would be a nice if you had to think about which resources you wanted to use for which items and if each resource had a few different uses. As it is, you have resources that are very specifically for certain types of pokeballs, resources that are very specific for certain types of medicine, etc. It gets to a point where you simply just don't collect certain resources because you simply have no good use for them. The Pokemon themselves however is what really matters. Battling them is fun and switching between the overworld and the battles themselves has never been better. I do think the move pool is lacking. I noticed a lot of moves seem to have been taken out of the game and while in some ways that helps balance the battles, it makes it difficult to get the right moves for certain Pokemon and type coverage becomes difficult. Speaking of variety, Pokemon is where this game needs a LOT of work. The Pokedex is only about 250 Pokemon, the smallest we've ever had outside of remakes. Most of those Pokemon are from Sinnoh, which makes sense given the story. However, it's a bit disappointing to see such a limited number of Pokemon in this type of enviornment. There was about 10-12 Pokemon that seem to be available in every area and with as many Pokemon are there are, this simply shouldn't be the case. I know people have complaints about Sword and Shield, but this is something they really got right with the wild area in Sword and Shield, so it's disappointing to see how limited the selection of Pokemon is here. A 400-500 pokemon size of Pokedex would make a lot more sense here.The story is very good. It's not the absolute best story we've ever gotten in Pokemon, but it easily makes the top 5. My only real complaint is that there is much too much handholding through the story. In other Pokemon games, this makes sense, given how linear the games are in the first place. Here however, it makes a lot less sense given the open world enviornments. All I really want to do is explore the enviornment and they almost seem to force the story upon you instead. I do like the rewards for Pokedex completion and completion of the game itself as you go. This game gives the most insentive to keep going out of all the Pokemon games and easily gives the best rewards. You get money for pokedex completion and I find myself continuing to catch as many Pokemon as I can so I can get more money to get more items and clothes. I do wish there were more clothing options, but the ones that are there are good. There's also way more shiny hunting options than usual, which is nice for people who enjoy that sort of thing.All in all, Pokemon Legends Arceus is a very good game, but if you are looking to pick up your first Pokemon game, I'd recommend Sword and Shield first and then checking this out afterwards. This is easily the better game, but Sword and Shield is the better Pokemon experience where you get to see and do more Pokemon related stuff. I'd say both games are 100 percent must plays for anyone interested in Pokemon. Pokemon Legends Arceus is very good groundwork for future games and I certainly plan on following to see what they continue to do with the Pokemon Legends series. I think with a bit of refinement and just generally taking everything a bit farther, this very well could be the future of main line Pokemon games and that excites me.",04-Feb-22,9,0.8,21,21,7.9
434,"It is a little liberation that this game offers us. Fluidity of play and freedom of movement are as good as graphic performances are in agony.It will be impossible for me to return to an episode that would take up the gameplay and the speed of the old games.The scenario is good if we are ""Role-Play"", we are more a researcher than a trainer and it is logical with agoal to completing a pokÃ©dex.The rating is quite high because I have fun on it and I appreciate the initiative of change.It's a good old whiskey served in a good old bidet.I hope for a legends 2 that would push all of this higher and finally use the processor of this Switch.",04-Feb-22,9,0.666666667,2,2,0
435,"Pokemon is back and better then ever! The Gameplay is refreshing, but the story needs some work. that's really my only problem with this game. This is solid evidence that Graphics does not measure how good a game is.",15-Feb-22,9,0,6,6,9.3
436,Really amazing game overall! Love the new mechanics and it would be amazing to see these implemented in mainline PokÃ©mon games if not have the spin off with ?Legends??and keep it going! It has to be said the graphics aren?t up to par which is a real shame and It could have really done with voice actors I feel like it?s something they need to invest in going forward??but more than makes up for them with its sheer amazing gameplay. Overall they done an amazing job.,01-Feb-22,9,0.909090909,10,10,8.2
437,"I?ve played around 15 hours so far and can honestly say, it?s something unique and special, Nintendo have done it yet again! Take critic reviews with a pinch of salt, they highlight the technical aspects far too much for what it is, like many great Nintendo games, they do come with their performance quirks, however, this does not at all get in the way of the many hours of fun which can be had on this game! Thoroughly recommend this game to anyone who has a switch, even if your not the biggest Pokemon fan, this game is great fun, packed with content and a great step forward for Nintendo and pokemon, only thing I ask for is more of this in DLC and future games!",31-Jan-22,9,0.807692308,4,4,9.8
438,"Tienes que jugarlo y sentirlo para ver lo rÃ¡pido del combate y lo divertido y adictivo en portÃ¡til se disfruta como en la Ã©poca de Game Boy ,el estilo anime kodomo es perfecto ,no cuenta con texturas pulidas salvo elementos de juego,tiene cierto poping aunque en elementos donde no va tu vista jugable ,la distancia de dibujado no es mala aunque la texturas no estÃ¡n en alta ,a poco un parche se la pueden subir un poco per no le hace falta ,al ser anime kodomo no debe tener mucha definiciÃ³n los transfondos ni detalles y siendo un juego de PokÃ©mon el juego te lleva perfecto ,la banda sonora y el sonido ambiente es el mejor de la serie y perfectamente dirigido ,el ciclo dÃ­a noche es perfecto ,los PokÃ©mon lucen como nunca Sin duda obligatorio nunca",29-Jan-22,9,0.857142857,3,4,9
439,"Everything that i was expecting from this game was delivered and even more, is true that it still sins with questionable graphics and performance, but the gameplay is SO GOOD. the models of the monsters and the new animations are really amazing, And the story is actually really good, the last part specially.Overall an spectacular experience and the best pokemon game since fifth gen. Looking foward to see what this brings to the table of the mainline games, gen 9 could be something incredible.",02-Feb-22,9,0.6,5,14,7.9
440,"The most fun I had with a pokemon game since the first gen. Instead of just doing the quests Im out there grinding the pokedex for hours without being bored. The game would be a 10 but the graphics are on playstation 2 level, some pokemon in the background have like 1 fps and you can see pokemon only if you are right in front of them...but this game shows gameplay >>> graphic",02-Feb-22,9,0.6,3,7,8
441,"A new experience of PokÃ©mon and is amazing i cant let it playing ,exelent work for nintendo.",24-Feb-22,9,0,9,9,8.4
442,"After 58 hours, I finally finished the game fully - completing the PokÃ©dex and facing the fight. Pokemon Legends Arceus has been a wild ride, a massive step forward for the series which I hope we see going forward. I?ve played every single Pokemon game since FRLG and grew up with the series and never felt more emboldened by it since then.Catching Pokemon has never been easier yet still more in-depth, battles are fun and closer to what the anime portrays the world like. Full of environmental storytelling if you go looking for it and characters that you?ll recognise from other games but with little twists along the way by making use of it?s settings.Legends Arceus also takes some more steps forward in terms of the behind the scenes mechanics that I think would be good to take forward into the future competitively and also makes it better for casual players by not punishing you too hard if you beat legendaries or rare spawns.There?s some occasional pop in and sometimes the models look a bit slow when at a distance, but that?s been my only real problem with this game. But barring that, the gameplay loop is amazing and scarily addictive.I?d absolutely recommend Pokemon Legends Arceus to anyone.",05-Feb-22,9,0.75,1,1,0
443,"The renewal of PokÃ©mon has been made as it needed, in a 3D movement world. It has expected things and some new unique mechanics such as launching the ball, mobility in the combat as a trainer, and many more. It also combines perfectly the action game with the turns games. The graphics are nice for nintendo switch and fit the game. The main history could have been longer (one or two ""seÃ±orial"" more). It copies lots of things of Dragon Quest Monters Joker 3 which was only released in Japan and advanced PokÃ©mon (still one DQ monsters in development though). PokÃ©mon needed to go on this way, it's enjoyable, could improve, but it's really a masterpiece on this kind of games.",31-Jan-22,9,0.857142857,2,3,0
444,"Despite the graphical issues (that 90% of 3D pokemon games now have these days, don't kid yourselves), this game is the most pokemon feel ever and most fun I've had since gen 5, which was the last one I actually bothered to buy. This game is easily gonna take many hours for me to beat because I love taking it slowly and filling all tasks I can before progressing the story. It's great for chilling and just having a good time, plus the music and characters designs are great this time around. Definitely give it a try. If you just care about graphics, go play something on xbox or pc then, nobody cares.",31-Jan-22,9,0.933333333,7,10,7.7
445,"PokÃ©mon is always amazing, but this time game freak really tried to innovate, and in my opinion it worked, the only problem with the game being the bad graphics.",26-Feb-22,9,0,15,15,9.2
446,"What can be said except good job Nintendo! This may not be the perfect game for people, but it does one nicely done job and being one of the best pokemon game in years. Listen to the positive AND negative reviews. I fully recommend.",29-Jan-22,9,0.796875,2,2,0
447,"I absolutely loved this game, been playing it non-stop for the past few days and can say that I?ve experienced enough of the game to give a true heartfelt review. Legends Arceus, as a PokÃ©mon game is incredible, it?s a refreshing new take on the tired old PokÃ©mon formula while also streamlining many features originating from the older games. As a stand-alone game however, this game is still good but I can?t sing praise about Legends without taking about the graphical quality. On handheld mode, the graphics look perfectly fine and most people probably could get used to it within a matter of minutes however, docked the graphical issues are made much more apparent with the game looking like something from the GameCube or Wii era. In short, Legends Arceus is a great game and for those still on the fence about it, I highly recommend you try it sooner or later.",31-Jan-22,9,0.8,1,2,0
448,"As someone who has had minimal interest in PokÃ©mon games up to this point, yeah, this is the real deal. It's rough around the edges, with somewhat poor graphics and minor graphical glitches, but it shines at times, too, with decent character models and pretty sunsets. The gameplay itself is compulsive, the story pleasingly dark, and the soundtrack is better than it has any right to be. I'm impressed.",04-Feb-22,9,0.833333333,4,4,0
449,"I hadn't had so much fun with a pokÃ¨mon game in such a long time!!! Loved the game a lot, great and fluid gameplay. Loved all the new concepts that were included.The graphics need a lot of polish, I hope future games improve on that but keep and improve this gameplay, this is the way to go",08-Feb-22,9,0.666666667,2,5,9.8
450,....................................................................................................................................................................................................blank,29-Jan-22,9,0.824561404,154,155,8.3
451,"best game I have played since BOTW, the final boss was epic and I love it. -1 point because the graphics are trash",31-Jan-22,9,0.8,2,2,0
452,"Not the prettiest switch game. However, as far as PokÃ©mon games go this is by far the best. It?s the kick in the a** the franchise needed and I have been glued to it since it?s launch. The battle system is a bit janky and I feel needs some polish but it is refreshing. While I have been exploring every bit of real estate I can touch, I still feel the ?open world??definitely needs a little bit more life to it. Too much space with not a lot going on. You?re probably reading this and wondering why I?m giving it a 9/10 even though I?ve thrown nothing but negatives out. That?s simply because the game is fun. I feel like fun hasn?t been part of a PokÃ©mon game in a while. I love being chased down by random aggro mons. I love the fact that there is an actual story. The ability to craft and farm is also a nice touch. Being able to swap a PokÃ©mon's move on the fly is a great quality of life feature. Say what you want about this game but it is a step in the right direction. There?s plenty they did wrong but plenty also done right. I hope to see this ?Legends??series continue. Amazing game!",31-Jan-22,9,0.807692308,1,3,0
453,"I love it. This game is a step in the right direction and any pokemon fan will love it. While I think the people complaining about graphics generally are being a bit dramatic, the game is poorly optimized and does feel like it needs some tuning up. Pokemon can clip through the environment, and certain textures (I?m looking at you, water and shadows) cause crazy pixelation of everything around it. Like, horrible pixelation. But, don?t focus on that. The game has heart. So much heart. It is literally breath of the wild meets pokemon. With a little bit of animal crossing crafting, and Fire emblem?s garach Mach monestary. It?s worth your time and money and I sure as hell hope we get another Pokemon Legends game. Mew perhaps? Celebi? :)",01-Feb-22,9,0.777777778,4,4,0
454,"Everybody knows that this game looks like **** but man look at the gameplay it's amazing y it's really fun, great pokemon game",04-Feb-22,9,0.8,5,5,8.8
455,"A breath of fresh air for the franchise, and by far the best Switch pokemon game.",30-Jan-22,9,0.833333333,4,4,9
456,"Easily the most fun I've had playing a Pokemon game yet! I love exploring the world of this game, I like almost all of the new forms of old Pokemon, I think the new Pokemon are really cool. Honestly for a Pokemon game, the story is pretty good, and the game play loop, while it's different, it's pretty fun, and makes catching Pokemon very fun to do.The game isn't really focused on fighting and collecting gym badges, instead you build up the first Pokedex, it sounds like it's grueling, but it's easier to make progress than you think, and it feels good to reach new ranks and go to new areas, the Ride Pokemon in this game are very fun to use, and feel well integrated into the design of the environment. Speaking of the environment, it's really good looking, the graphics look very polished and honestly is one of the best looking Pokemon games, this is definitely one of, if not my favorite game in the series. Really my only complaint is that your own Pokemon can't follow you in the world, and sometimes trying to get your rank up can feel a little tedious.",01-Feb-22,9,0.933333333,3,3,0
457,Awesome game with brand new gameplay improvement and great sound although the graphic is still not good. Hope it will monimated for GOTY award of TGA 2022.,07-Feb-22,9,0.6,5,5,8.6
458,"I am addicted to this game. PokÃ©mon has not been this good since like Gen 3. I fully recommend getting this game it is amazing! So much fun, the new mechanics are great, it?s just so much fun.",04-Feb-22,9,0.8,10,11,9.8
459,Game Freak delivered everything shown in the trailer and boss battles are most fun They amazed me 4th one was a bit difficult Expect graphics everything is good And music is Very good it makes me forget about the graphics The game isn't perfect but it's good or I should say One of the best gams in Pokemon,30-Jan-22,9,0.825,1,1,0
